sales1_name,chan1_name,chan2_name,all_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name
United Card - New Applications,Online Display,Partner,overall,National,6,0.01,83676019,0.01,1,8674.504489,weekly
United Card - New Applications,Online Video,Partner,overall,National,6,0.15,12086974,0.01,1,766.088257,weekly
United Card - New Applications,Paid Search,United,overall,National,1.5,0.01,178,7,1,6606.033362,weekly
United Card - New Applications,Outdoor,Partner,overall,National,0.3,0.15,529332,1,1,569.8327602,weekly
Freedom Card - New Applications,Direct Mail,Freedom,overall,National,0.3,0.01,152195,1,1,10066.84122,weekly
Freedom Card - New Applications,Television,Freedom,overall,National,0.3,0.6,8731730,0.01,1,3368,weekly
Freedom Card - New Applications,Affiliates,Freedom,overall,National,6,0.3,26053,116,1,11292.19297,weekly
Freedom Card - New Applications,Paid Search,Multicard,overall,National,3,0.03,163578,2,1,23968.0267,weekly
Freedom Card - New Applications,Online Display,Freedom,overall,National,0.3,0.15,8313540,0.01,1,2246.097403,weekly
Freedom Card - New Applications,Online Video,Freedom,overall,National,0.3,0.15,1458816,0.01,1,1797.073647,weekly
Ink Card - New Applications,Online Display,Ink,overall,National,1.5,0.01,10684098,0.01,1,5134.237446,weekly
Ink Card - New Applications,Television,Ink,overall,National,1.5,0.15,10799,96,1,1161.568412,weekly
Ink Card - New Applications,Paid Search,Multicard,overall,National,0.3,0.3,163578,2,1,785.6762693,weekly
Ink Card - New Applications,Affiliates,Ink,overall,National,0.3,0.3,44507,58,1,6030.227763,weekly
