"sales1_name","chan1_name","chan2_name","all_name","hl","hrf","max","cps","wks","dma1_name","decomp","spend","beta","a","ad","b"
"Consumer Savings - Total Balances","Online Video","Consumer","overall",0.3,0.01,50688024,0.01,1,"National",21764955,277804,371256745.184804,371256745.184804,0.0586250762640442,2.17469106183074e-07
"Consumer Savings - Total Balances","Paid Search","Consumer & XLB","overall",0.3,0.15,1262917,2,1,"National",19368569,294396,103725531.707175,103725531.707175,0.186729040393632,7.02084747456881e-07
"Consumer Savings - Total Balances","Magazine","Consumer","overall",3,0.15,117733,1,1,"National",9095666,42069,14298636.2602141,14298636.2602141,0.636121224043489,2.40303905464769e-05
"Consumer Savings - Total Balances","Television","Consumer","overall",6,0.1,18988,145,1,"National",33669186,1225856,57740007.0322653,57740007.0322653,0.583117109445199,7.13746096298253e-07
"Consumer Savings - Total Balances","Direct Mail","Consumer","overall",1.5,0.1,19128548,1,1,"National",92502811,1840416,611480387.737218,611480387.737218,0.151276824007891,8.91223531754021e-08
"Marriott Card - New Applications","Outdoor","Partner","overall",6,0.15,529332,1,1,"National",13,389161,14.6841563534964,14.6841563534964,0.88530792556595,5.56454617871579e-06
"Marriott Card - New Applications","Television","Sapphire","overall",0.5,0.15,19848,76,1,"National",37,409938,89.2804528543594,89.2804528543594,0.414424421215213,1.30546575360044e-06
"Marriott Card - New Applications","Direct Mail","Mariott","overall",0.5,0.01,1125786,0.01,1,"National",66,174050,79.4947885103916,79.4947885103916,0.830243104444167,1.01889565730379e-05
"Marriott Card - New Applications","Paid Search","Mariott","overall",0.3,0.01,15365,2,1,"National",175,18512,2724.42336560593,2724.42336560593,0.0642337759282426,3.58630047034446e-06
"Marriott Card - New Applications","Online Video","Partner","overall",1.5,0.15,12086974,0.01,1,"National",176,34170,341.788283046463,341.788283046463,0.514938658608359,2.11729563636535e-05
"Marriott Card - New Applications","Affiliates","Mariott","overall",0.5,0.15,1981,37,1,"National",194,20342,460.980413082262,460.980413082262,0.420842175707323,2.68498799398376e-05
"Marriott Card - New Applications","Television","Partner","overall",6,0.15,891,2301,1,"National",202,102032,1427.17811736196,1427.17811736196,0.141538044580856,1.49573579666366e-06
"Marriott Card - New Applications","Online Display","Partner","overall",1.5,0.15,83676019,0.01,1,"National",274,137189,790.092561875372,790.092561875372,0.346794810154434,3.10421369537452e-06
"Sapphire Card - New Applications","Magazine","Sapphire","overall",0.3,0.01,152195,1,1,"National",79,56410,1972.00773772921,1972.00773772921,0.0400606947369129,7.24786743542647e-07
"Sapphire Card - New Applications","Direct Mail","Freedom","overall",0.3,0.01,152195,1,1,"National",125,948718,254.985846390286,254.985846390286,0.490223287957218,7.10203104250867e-07
"Sapphire Card - New Applications","Television","Freedom","overall",6,0.15,26053,116,1,"National",240,787179,439.172587374587,439.172587374587,0.546482196064972,1.004499295897e-06
"Sapphire Card - New Applications","Online Display","Sapphire","overall",3,0.03,16335092,0.01,1,"National",389,179487,872.244827758336,872.244827758336,0.445975702716092,3.290192243914e-06
"Sapphire Card - New Applications","Television","Sapphire","overall",0.3,0.15,19848,76,1,"National",397,364103,1146.62676185368,1146.62676185368,0.346232979385721,1.167263737419e-06
"Sapphire Card - New Applications","Direct Mail","Sapphire","overall",0.3,0.15,1458816,0.01,1,"National",682,76923,682.116618585694,682.116618585694,0.999829034240602,0.00011276272712909
"Sapphire Card - New Applications","Online Video","Sapphire","overall",3,0.03,19778688,0.01,1,"National",688,69231,3970.49739126679,3970.49739126679,0.1732780385433,2.74857855396091e-06
"Sapphire Card - New Applications","Paid Search","Multicard","overall",6,0.15,163578,2,1,"National",1660,254029,1849.15777656605,1849.15777656605,0.897705983251835,8.97497567224696e-06
"Sapphire Card - New Applications","Affiliates","Sapphire","overall",1.5,0.3,24230,45,1,"National",2867,514161,3152.73631689202,3152.73631689202,0.909368786929287,4.66965913427046e-06
"Slate Card - New Applications","Online Display","Freedom","overall",0.3,0.1,8313540,0.01,1,"National",337,6918,3680.25400705994,3680.25400705994,0.0915697664763145,1.38822184351069e-05
"Slate Card - New Applications","Online Display","Sapphire","overall",6,0.15,16335092,0.01,1,"National",1104,146175,1192.33002401769,1192.33002401769,0.92591814158965,1.78045808272692e-05
"Slate Card - New Applications","Television","Freedom","overall",4,0.15,26053,116,1,"National",1716,751077,3307.24769603081,3307.24769603081,0.51886044158696,9.74065120791398e-07
"Slate Card - New Applications","Online Display","Slate","overall",0.5,0.15,25943324,0.01,1,"National",2159,23862,12795.0813015628,12795.0813015628,0.168736716017294,7.74489591856044e-06
"Slate Card - New Applications","Paid Search","Multicard","overall",0.3,0.01,163578,2,1,"National",4383,254029,53477.2597519891,53477.2597519891,0.0819600708848395,3.36632406297751e-07
"Slate Card - New Applications","Direct Mail","Slate","overall",6,0.15,22203280,0.01,1,"National",7038,1791285,7038.00155255047,7038.00155255047,0.999999779404642,8.55639151506413e-06
"Slate Card - New Applications","Affiliates","Slate","overall",0.3,0.3,44507,58,1,"National",10836,1426790,12417.6115050961,12417.6115050961,0.872631584226401,1.44427104230111e-06
"United Card - New Applications","Direct Mail","United","overall",0.3,0.03,1900812,0.01,1,"National",91,121192,104.74533670944,104.74533670944,0.868773759851773,1.67571491628154e-05
"United Card - New Applications","Television","Partner","overall",0.3,0.15,891,2301,1,"National",279,102032,3289.8606214947,3289.8606214947,0.084806024357725,8.68543603349653e-07
"United Card - New Applications","Online Display","Partner","overall",6,0.01,83676019,0.01,1,"National",266,137189,8674.5044889622,8674.5044889622,0.0306645757505192,2.27019454424089e-07
"United Card - New Applications","Online Video","Partner","overall",6,0.15,12086974,0.01,1,"National",441,34170,766.088257016827,766.088257016827,0.57565169020769,2.50863528131513e-05
"United Card - New Applications","Paid Search","United","overall",1.5,0.01,178,7,1,"National",457,547,6606.03336187354,6606.03336187354,0.0691791843858309,0.000131057558794036
"United Card - New Applications","Outdoor","Partner","overall",0.3,0.15,529332,1,1,"National",405,380929,569.832760180666,569.832760180666,0.710734847662312,3.25628011876715e-06
"Freedom Card - New Applications","Direct Mail","Freedom","overall",0.3,0.01,152195,1,1,"National",4935,948718,10066.8412154885,10066.8412154885,0.490223287957218,7.10203104250867e-07
"Freedom Card - New Applications","Television","Freedom","overall",0.3,0.6,8731730,0.01,1,"National",3368,787179,3368,3368,1,Inf
"Freedom Card - New Applications","Affiliates","Freedom","overall",6,0.3,26053,116,1,"National",9374,820513,11292.1929669649,11292.1929669649,0.830131049604222,2.16051180083375e-06
"Freedom Card - New Applications","Paid Search","Multicard","overall",3,0.03,163578,2,1,"National",8211,254029,23968.0266961349,23968.0266961349,0.342581394125537,1.6511276899097e-06
"Freedom Card - New Applications","Online Display","Freedom","overall",0.3,0.15,8313540,0.01,1,"National",1294,41026,2246.09740325911,2246.09740325911,0.576110367307487,2.09204445446224e-05
"Freedom Card - New Applications","Online Video","Freedom","overall",0.3,0.15,1458816,0.01,1,"National",1797,89744,1797.07364730837,1797.07364730837,0.999959018202466,0.000112568890983415
"Ink Card - New Applications","Online Display","Ink","overall",1.5,0.15,10684098,0.01,1,"National",756,104628,841.367522474895,841.367522474895,0.898537178825509,2.18685518355474e-05
"Ink Card - New Applications","Television","Ink","overall",1.5,0.15,10799,96,1,"National",684,363184,1161.56841168499,1161.56841168499,0.588858988518617,2.44729676885654e-06
"Ink Card - New Applications","Paid Search","Multicard","overall",0.3,0.3,163578,2,1,"National",741,254029,785.67626929122,785.67626929122,0.943136542317201,1.1286515965293e-05
"Ink Card - New Applications","Affiliates","Ink","overall",0.3,0.3,44507,58,1,"National",551,63310,6030.22776282868,6030.22776282868,0.0913729997723228,1.51351460750449e-06
